Token                Lexeme              
Keyword              public              
Keyword              class               
Identifier           Example             
Separator            {                   
Keyword              public              
Keyword              static              
Keyword              void                
Identifier           main                
Separator            (                   
Identifier           String              
Separator            [                   
Separator            ]                   
Identifier           args                
Separator            )                   
Separator            {                   
Keyword              int                 
Identifier           x                   
Operator             =                   
Constant             5                   
Separator            ;                   
Keyword              double              
Identifier           y                   
Operator             =                   
Constant             10.69               
Separator            ;                   
Keyword              int                 
Identifier           z                   
Operator             =                   
Identifier           x                   
Operator             +                   
Identifier           y                   
Separator            ;                   
Keyword              while               
Separator            (                   
Identifier           t                   
Operator             <                   
Identifier           lower               
Separator            )                   
Identifier           r                   
Operator             =                   
Constant             28.00               
Separator            ;                   
Identifier           System              
Identifier           out                 
Identifier           println             
Separator            (                   
String Literal       "The value of z is "
Operator             +                   
Character Literal    'a'                 
Operator             +                   
Identifier           z                   
Separator            )                   
Separator            ;                   
Separator            }                   
Separator            }                   
